"testName","outcome","duration"
"AISAM.IntegrationTests.PermissionSecurityTests.WorkspaceAccounting_IsIndependentOfVisibility(role: Manager)","Passed","00:00:00.1321237"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerMutation_IsDeniedBeforeControllerExecution(method: ""POST"", path: ""/api/content/00000000-0000-0000-0000-000000000001/""···)","Passed","00:00:00.2164072"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryCanEdit_DoesNotGrantOtherActions(action: Edit, expected: True)","Passed","00:00:00.2067566"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerCannotBypassAnalyticsThroughRouteVariants(path: ""/api/analytics/overview"")","Passed","00:00:00.2067346"
"AISAM.IntegrationTests.PermissionHttpTests.LegacySignedTokenWithoutSessionId_IsRejected","Passed","00:00:02.2701973"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryCanEdit_DoesNotGrantOtherActions(action: Delete, expected: False)","Passed","00:00:00.1002548"
"AISAM.IntegrationTests.PermissionSecurityTests.MemberDirectory_DoesNotExposeOtherUsersCredit(role: Viewer)","Passed","00:00:00.1267239"
"AISAM.IntegrationTests.PermissionHttpTests.SessionChange_InvalidatesExistingSignedToken(change: ""revoked"")","Passed","00:00:00.2510572"
"AISAM.IntegrationTests.PermissionSecurityTests.AssignedPendingTask_LosesEditImmediatelyWhenChannelRevoked","Passed","00:00:00.1427169"
"AISAM.IntegrationTests.PermissionSecurityTests.WorkspaceAccounting_IsIndependentOfVisibility(role: Viewer)","Passed","00:00:00.1155352"
"AISAM.IntegrationTests.PermissionSecurityTests.HistoricalView_AfterTeamRemoval_DoesNotRestoreBrandAccess","Passed","00:00:00.1952343"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerMutation_IsDeniedBeforeControllerExecution(method: ""POST"", path: ""/api/content-schedules"")","Passed","00:00:00.2187608"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerCannotBypassAnalyticsThroughRouteVariants(path: ""/API/ANALYTICS/overview"")","Passed","00:00:00.2016764"
"AISAM.IntegrationTests.PermissionSecurityTests.MemberDirectory_DoesNotExposeOtherUsersCredit(role: ContentCreator)","Passed","00:00:00.1131989"
"AISAM.IntegrationTests.PermissionSecurityTests.PermissionRelations_RejectCrossWorkspaceWrites(relation: ""brand"")","Passed","00:00:00.1126067"
"AISAM.IntegrationTests.PermissionHttpTests.CreatorHistory_RejectsTamperedUserAndWorkspace","Passed","00:00:00.2474742"
"AISAM.IntegrationTests.PermissionSecurityTests.PostgreSqlProvider_TranslatesSensitiveProjectionsWithoutConnecting","Passed","00:00:00.7001672"
"AISAM.IntegrationTests.PermissionHttpTests.SessionChange_InvalidatesExistingSignedToken(change: ""inactive"")","Passed","00:00:00.2527601"
"AISAM.IntegrationTests.PermissionSecurityTests.SettingAudit_NeverStoresArbitraryInput(key: ""display"", batch: False)","Passed","00:00:00.1143078"
"AISAM.IntegrationTests.PermissionSecurityTests.WorkspaceAccounting_IsIndependentOfVisibility(role: Owner)","Passed","00:00:00.1071599"
"AISAM.IntegrationTests.PermissionHttpTests.ViewerMutation_IsDeniedBeforeControllerExecution(method: ""DELETE"", path: ""/api/content/00000000-0000-0000-0000-000000000001/"")","Passed","00:00:00.2000257"
"AISAM.IntegrationTests.PermissionSecurityTests.AutomationCounts_UseOnlyAuthorizedItems","Passed","00:00:00.2999948"
"AISAM.IntegrationTests.PermissionSecurityTests.ManagerCampaignMetrics_ExcludeDeniedChannel_AndRevokeIsImmediate","Passed","00:00:00.1420712"
"AISAM.IntegrationTests.PermissionSecurityTests.TemporaryCanEdit_DoesNotGrantOtherActions(action: Publish, expected: False)","Passed","00:00:00.1045777"
